Date_Time_Create,MacAddress,2G_Chain1,2G_Chain2,5G_Chain1,5G_Chain2,Result
2020/10/02 11:23:20,d49aa0360b39,,,,,Failed
2020/10/02 11:23:59,d49aa0360b39,-2.71,-15.68,,,Failed
2020/10/02 11:24:49,d49aa0360b39,-1.84,-16.09,,,Failed
2020/10/02 11:26:04,d49aa0360b39,-0.99,-34.34,-9.74,,Failed
2020/10/02 11:26:38,d49aa0360b39,0.44,-9.38,,-4.52,Failed
2020/10/02 11:28:23,d49aa0360b39,0.22,-8.4,,,Failed
2020/10/02 11:29:18,d49aa0360b39,-0.48,-34.86,,,Failed
2020/10/02 11:31:00,d49aa0360b39,,,,,Failed
2020/10/02 11:33:20,d49aa0360b39,,,,,Failed
2020/10/02 11:56:22,d49aa0360b39,,,,,Failed
2020/10/02 11:56:34,d49aa0360b39,,,,,Failed
2020/10/02 12:01:38,d49aa0360b39,,,,,Failed
2020/10/02 12:04:38,d49aa0360b39,-7.8,,-11.55,-15.52,Failed
2020/10/02 12:06:10,d49aa0360b39,,,-11.74,,Failed
2020/10/02 12:06:49,d49aa0360b39,,,,,Failed
2020/10/02 12:07:10,d49aa0360b39,,,-2.73,,Failed
2020/10/02 12:08:38,d49aa0360b39,-16.32,,,,Failed
2020/10/02 12:10:09,d49aa0360b39,,,,,Failed
2020/10/02 12:12:46,d49aa0360b39,,,,,Failed
2020/10/02 13:38:21,d49aa0360b39,-15.17,,-12.76,-20.15,Failed
2020/10/02 13:38:32,d49aa0360b39,-15.48,,-13.1,-20.42,Failed
2020/10/02 13:38:53,d49aa0360b39,-19.01,,-5.62,-26.63,Failed
2020/10/02 13:39:12,d49aa0360b39,-0.5,-21.32,-8.35,-13.46,Passed
2020/10/02 13:39:22,d49aa0360b39,-0.33,-21.23,-8.1,-13.44,Passed
2020/10/02 13:42:09,d49aa0363a21,-18.91,-17.61,-13.05,-11.92,Passed
2020/10/02 13:42:23,d49aa0363a21,-15.89,-13.16,-9,-20.61,Passed
2020/10/02 13:43:09,d49aa0363a21,-15.39,-13.99,-13.79,-19.37,Passed
2020/10/02 13:43:21,d49aa0363a21,-0.45,3.28,-2.99,2.59,Passed
2020/10/02 13:45:18,d49aa0360b39,-10.19,-2.97,-18.98,-21.27,Passed
2020/10/02 14:03:36,d49aa0363a21,-11.36,-4.79,-20.55,-17.66,Passed
2020/10/02 14:10:52,d49aa0363a21,-11.1,-4.76,-20.97,-18.11,Passed
2020/10/02 14:15:27,d49aa036467d,-6.93,-1.61,-31.13,-20.52,Passed
2020/10/02 14:18:59,,,,,,Failed
2020/10/02 14:19:04,,,,,,Failed
2020/10/02 14:21:03,d49aa035fe49,-5.98,-1.82,-21.23,-23.26,Passed
2020/10/02 14:24:33,d49aa0363e49,-6.01,-0.97,-20.83,-29.46,Passed
2020/10/02 14:27:00,d49aa0363779,-6.15,-1.09,-19.1,-17.62,Passed
2020/10/02 14:29:39,d49aa03639bd,-4.14,-4.87,-20.17,-22.96,Passed
2020/10/02 14:31:33,d49aa034b0c5,-10.7,-4.44,-16,-16.15,Passed
2020/10/02 14:33:25,d49aa0360129,-9.15,-0.59,-16.88,-22.24,Passed
2020/10/02 14:36:04,d49aa0361355,-7.59,0.01,-18.02,-14.32,Passed
2020/10/02 14:37:58,d49aa0360b39,-8.75,-20.72,-19.65,-24.15,Passed
2020/10/02 14:39:36,,,,,,Failed
2020/10/02 14:39:45,,,,,,Failed
2020/10/02 14:41:21,d49aa036388d,-8.68,-3.18,-18.22,-23.34,Passed
2020/10/02 14:44:03,d49aa0363829,-5.81,-1.6,-32.73,-27.22,Passed
2020/10/02 14:45:59,,,,,,Failed
2020/10/02 14:47:43,d49aa03635d1,-9.05,-3.1,-18.47,,Failed
2020/10/02 14:47:54,d49aa03635d1,-9.07,-3.13,-18.45,,Failed
2020/10/02 14:48:13,d49aa03635d1,-9.13,-3.18,-18.43,,Failed
2020/10/02 14:48:57,d49aa03635d1,-2.99,-2.91,-23.35,-19.39,Passed
2020/10/02 14:49:07,d49aa03635d1,-4.18,-2.02,-17.97,-20.5,Passed
2020/10/02 14:49:23,d49aa03635d1,-5.94,-4.41,-25.52,-23.35,Passed
2020/10/02 14:50:18,,-5.02,,-29.16,,Failed
2020/10/02 14:51:20,d49aa03635d1,,-4.21,,-17.83,Failed
2020/10/02 14:52:22,d49aa03635d1,,,,,Failed
