Date_Time_Create,MacAddress,2G_Chain1,2G_Chain2,5G_Chain1,5G_Chain2,Result
2021/09/28 16:08:20,,,,,,Failed
2021/09/28 16:14:27,,,,,,Failed
2021/09/28 16:14:28,,,,,,Failed
